INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-08-16T07:00:00-00:00,2022-08-16T07:15:00-00:00,2022-08-16,01,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,87.58975,1,1
2022-08-16T08:00:00-00:00,2022-08-16T08:15:00-00:00,2022-08-16,02,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,91.14545,1,1
2022-08-16T09:00:00-00:00,2022-08-16T09:15:00-00:00,2022-08-16,03,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,85.20231,1,1
2022-08-16T10:00:00-00:00,2022-08-16T10:15:00-00:00,2022-08-16,04,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,85.04352,1,1
2022-08-16T11:00:00-00:00,2022-08-16T11:15:00-00:00,2022-08-16,05,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,83.11564,1,1
2022-08-16T12:00:00-00:00,2022-08-16T12:15:00-00:00,2022-08-16,06,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,84.79708,1,1
2022-08-16T13:00:00-00:00,2022-08-16T13:15:00-00:00,2022-08-16,07,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,93.27972,1,1
2022-08-16T14:00:00-00:00,2022-08-16T14:15:00-00:00,2022-08-16,08,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,93.04686,1,1
2022-08-16T15:00:00-00:00,2022-08-16T15:15:00-00:00,2022-08-16,09,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,73.87755,1,1
2022-08-16T16:00:00-00:00,2022-08-16T16:15:00-00:00,2022-08-16,10,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,70.8496,1,1
2022-08-16T17:00:00-00:00,2022-08-16T17:15:00-00:00,2022-08-16,11,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,77.62152,1,1
2022-08-16T18:00:00-00:00,2022-08-16T18:15:00-00:00,2022-08-16,12,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,79.99862,1,1
2022-08-16T19:00:00-00:00,2022-08-16T19:15:00-00:00,2022-08-16,13,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,85.04269,1,1
2022-08-16T20:00:00-00:00,2022-08-16T20:15:00-00:00,2022-08-16,14,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,89.12172,1,1
2022-08-16T21:00:00-00:00,2022-08-16T21:15:00-00:00,2022-08-16,15,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,108.1948,1,1
2022-08-16T22:00:00-00:00,2022-08-16T22:15:00-00:00,2022-08-16,16,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,114.36265,1,1
2022-08-16T23:00:00-00:00,2022-08-16T23:15:00-00:00,2022-08-16,17,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,136.0776,1,1
2022-08-17T00:00:00-00:00,2022-08-17T00:15:00-00:00,2022-08-16,18,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,161.59941,1,1
2022-08-17T01:00:00-00:00,2022-08-17T01:15:00-00:00,2022-08-16,19,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,341.392,1,1
2022-08-17T02:00:00-00:00,2022-08-17T02:15:00-00:00,2022-08-16,20,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,647.67535,1,1
2022-08-17T03:00:00-00:00,2022-08-17T03:15:00-00:00,2022-08-16,21,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,334.2122,1,1
2022-08-17T04:00:00-00:00,2022-08-17T04:15:00-00:00,2022-08-16,22,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,195.56326,1,1
2022-08-17T05:00:00-00:00,2022-08-17T05:15:00-00:00,2022-08-16,23,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,165.90482,1,1
2022-08-17T06:00:00-00:00,2022-08-17T06:15:00-00:00,2022-08-16,24,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,133.21779,1,1
2022-08-16T07:15:00-00:00,2022-08-16T07:30:00-00:00,2022-08-16,01,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,82.10297,2,1
2022-08-16T08:15:00-00:00,2022-08-16T08:30:00-00:00,2022-08-16,02,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,87.57282,2,1
2022-08-16T09:15:00-00:00,2022-08-16T09:30:00-00:00,2022-08-16,03,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,84.76232,2,1
2022-08-16T10:15:00-00:00,2022-08-16T10:30:00-00:00,2022-08-16,04,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,84.52592,2,1
2022-08-16T11:15:00-00:00,2022-08-16T11:30:00-00:00,2022-08-16,05,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,84.16548,2,1
2022-08-16T12:15:00-00:00,2022-08-16T12:30:00-00:00,2022-08-16,06,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,87.51697,2,1
2022-08-16T13:15:00-00:00,2022-08-16T13:30:00-00:00,2022-08-16,07,POWAY_6_N001,POWAY_6_N001,POWAY_6_N001,RTPD,LMP,LMP_PRC,POWAY_6_N001,ALL,1,93.43081,2,1
