INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-08-16T07:00:00-00:00,2022-08-16T07:15:00-00:00,2022-08-16,01,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,87.58975,1,1
2022-08-16T08:00:00-00:00,2022-08-16T08:15:00-00:00,2022-08-16,02,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,92.4388,1,1
2022-08-16T09:00:00-00:00,2022-08-16T09:15:00-00:00,2022-08-16,03,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,85.95725,1,1
2022-08-16T10:00:00-00:00,2022-08-16T10:15:00-00:00,2022-08-16,04,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,85.94054,1,1
2022-08-16T11:00:00-00:00,2022-08-16T11:15:00-00:00,2022-08-16,05,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,83.94583,1,1
2022-08-16T12:00:00-00:00,2022-08-16T12:15:00-00:00,2022-08-16,06,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,85.79611,1,1
2022-08-16T13:00:00-00:00,2022-08-16T13:15:00-00:00,2022-08-16,07,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,94.57734,1,1
2022-08-16T14:00:00-00:00,2022-08-16T14:15:00-00:00,2022-08-16,08,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,94.32443,1,1
2022-08-16T15:00:00-00:00,2022-08-16T15:15:00-00:00,2022-08-16,09,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,73.87755,1,1
2022-08-16T16:00:00-00:00,2022-08-16T16:15:00-00:00,2022-08-16,10,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,71.55712,1,1
2022-08-16T17:00:00-00:00,2022-08-16T17:15:00-00:00,2022-08-16,11,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,77.99054,1,1
2022-08-16T18:00:00-00:00,2022-08-16T18:15:00-00:00,2022-08-16,12,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,79.99862,1,1
2022-08-16T19:00:00-00:00,2022-08-16T19:15:00-00:00,2022-08-16,13,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,84.39902,1,1
2022-08-16T20:00:00-00:00,2022-08-16T20:15:00-00:00,2022-08-16,14,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,88.18169,1,1
2022-08-16T21:00:00-00:00,2022-08-16T21:15:00-00:00,2022-08-16,15,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,-6.96301,1,1
2022-08-16T22:00:00-00:00,2022-08-16T22:15:00-00:00,2022-08-16,16,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,52.85986,1,1
2022-08-16T23:00:00-00:00,2022-08-16T23:15:00-00:00,2022-08-16,17,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,-4.78175,1,1
2022-08-17T00:00:00-00:00,2022-08-17T00:15:00-00:00,2022-08-16,18,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,164.07281,1,1
2022-08-17T01:00:00-00:00,2022-08-17T01:15:00-00:00,2022-08-16,19,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,341.392,1,1
2022-08-17T02:00:00-00:00,2022-08-17T02:15:00-00:00,2022-08-16,20,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,RTPD,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,647.67535,1,1
