,Unnamed: 0,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Energy_Source,Lng,Lat,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
1472,1472,AS_NP26,GEN,TANHIL_6_SOLART,SLR-TANN_7_B1,35050_SLR-TANN_ 6.9_GU1,22M7_DB114,2022-07-28T00:00:00,4852,G0368,NG,-119.443595143,35.093123586,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1473,1473,AS_SP15,GEN,TANHIL_6_SOLART,SLR-TANN_7_B1,35050_SLR-TANN_ 6.9_GU1,22M7_DB114,2022-07-28T00:00:00,4852,G0368,NG,-119.443595143,35.093123586,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1474,1474,AS_NP15,GEN,TBLMTN_6_QF,TBLEMTN_6_N005,31718_TBLE MTN_60.0_GUM1,22M7_DB114,2022-07-28T00:00:00,4858,H0053,WAT,-121.140498017,39.3901993530001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1475,1475,AS_NP26,GEN,TBLMTN_6_QF,TBLEMTN_6_N005,31718_TBLE MTN_60.0_GUM1,22M7_DB114,2022-07-28T00:00:00,4858,H0053,WAT,-121.140498017,39.3901993530001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1476,1476,AS_SP26,GEN,TEHAPI_2_PW1WD1,TEHAPI1_6_N003,24282_67.0_GUW1,22M7_DB114,2022-07-28T00:00:00,4860,W0481,WND,-118.364728704,35.086437039,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1477,1477,AS_SP15,GEN,TEHAPI_2_PW1WD1,TEHAPI1_6_N003,24282_67.0_GUW1,22M7_DB114,2022-07-28T00:00:00,4860,W0481,WND,-118.364728704,35.086437039,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1478,1478,AS_SP26,GEN,TEHAPI_2_WIND1,WDWLMON1_7_N001,24280_WDWLMON1_12.5_GU1,22M7_DB114,2022-07-28T00:00:00,4862,W0275,WND,-118.338871222,35.102474525,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1479,1479,AS_SP15,GEN,TEHAPI_2_WIND1,WDWLMON1_7_N001,24280_WDWLMON1_12.5_GU1,22M7_DB114,2022-07-28T00:00:00,4862,W0275,WND,-118.338871222,35.102474525,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1480,1480,AS_SP15,GEN,TEHAPI_2_WIND2,WDWLMON2_7_N001,24279_WDWLMON2_12.5_GU2,22M7_DB114,2022-07-28T00:00:00,4863,W0276,WND,-118.333691992,35.101697938,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1481,1481,AS_SP26,GEN,TEHAPI_2_WIND2,WDWLMON2_7_N001,24279_WDWLMON2_12.5_GU2,22M7_DB114,2022-07-28T00:00:00,4863,W0276,WND,-118.333691992,35.101697938,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
