,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1341,AS_SP15,GEN,SBERDO_2_SNTANA,SANBRDNO_6_N007,24214_SANBRDNO_66.0_GUSN,22M7_DB114,2022-07-28T00:00:00,3971,H0462,-117.099067388,34.107591756
1342,AS_SP15,GEN,SBERDO_6_MILLCK,SANBRDNO_6_N006,24214_SANBRDNO_66.0_GUMC,22M7_DB114,2022-07-28T00:00:00,3975,H0333,-117.039433181,34.0879847520001
1343,AS_SP26,GEN,SBERDO_6_MILLCK,SANBRDNO_6_N006,24214_SANBRDNO_66.0_GUMC,22M7_DB114,2022-07-28T00:00:00,3975,H0333,-117.039433181,34.0879847520001
1344,AS_NP26,GEN,SCHLTE_1_PL1X3,SCHLTE_1_PL1X3-APND,,22M7_DB114,2022-07-28T00:00:00,4351,G0838,-121.491282527,37.7107934420001
1345,AS_NP15,GEN,SCHLTE_1_PL1X3,SCHLTE_1_PL1X3-APND,,22M7_DB114,2022-07-28T00:00:00,4351,G0838,-121.491282527,37.7107934420001
1346,AS_NP26,GEN,SCHNDR_1_FIVPTS,SCHLNDLR_7_N002,34355_SCHINDLR_12.5_GUFP,22M7_DB114,2022-07-28T00:00:00,4356,S0140,-120.107507216,36.3950065870001
1347,AS_NP15,GEN,SCHNDR_1_FIVPTS,SCHLNDLR_7_N002,34355_SCHINDLR_12.5_GUFP,22M7_DB114,2022-07-28T00:00:00,4356,S0140,-120.107507216,36.3950065870001
1348,AS_NP15,GEN,SCHNDR_1_WSTSDE,SCHLNDLR_7_N003,34355_SCHINDLR_12.5_GUWS,22M7_DB114,2022-07-28T00:00:00,4360,S0138,-120.125500599,36.377686243
1349,AS_NP26,GEN,SCHNDR_1_WSTSDE,SCHLNDLR_7_N003,34355_SCHINDLR_12.5_GUWS,22M7_DB114,2022-07-28T00:00:00,4360,S0138,-120.125500599,36.377686243
1350,AS_SP15,GEN,SEARLS_7_ARGUS,SEARLES_7_N004,24785_SEARLES _34.5_GUAR,22M7_DB114,2022-07-28T00:00:00,4486,C0017,-117.383743029,35.765562292
1351,AS_SP26,GEN,SEARLS_7_ARGUS,SEARLES_7_N004,24785_SEARLES _34.5_GUAR,22M7_DB114,2022-07-28T00:00:00,4486,C0017,-117.383743029,35.765562292
1352,AS_SP26,GEN,SEGS_1_SEGS2,SEGS2G_7_B1,24752_SEGS  2G_13.8_GU2,22M7_DB114,2022-07-28T00:00:00,4491,S0070,-116.82511283,34.8628401870001
1353,AS_SP15,GEN,SEGS_1_SEGS2,SEGS2G_7_B1,24752_SEGS  2G_13.8_GU2,22M7_DB114,2022-07-28T00:00:00,4491,S0070,-116.82511283,34.8628401870001
1354,AS_SP26,GEN,SEGS_1_SR2SL2,SUNRAY2_7_N001,99303_SUNRAY2 _34.5_GUS2,22M7_DB114,2022-07-28T00:00:00,4492,S0590,-116.831583026,34.863649321
1355,AS_SP15,GEN,SEGS_1_SR2SL2,SUNRAY2_7_N001,99303_SUNRAY2 _34.5_GUS2,22M7_DB114,2022-07-28T00:00:00,4492,S0590,-116.831583026,34.863649321
