,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1566,AS_SP26,GEN,VALLEY_5_SOLAR2,VALLEYSC_1_N108,24160_VALLEYSC_115_GUAP,22M7_DB114,2022-07-28T00:00:00,5059,S0422,-117.01059981,33.7417507320001
1567,AS_SP15,GEN,VALLEY_5_SOLAR2,VALLEYSC_1_N108,24160_VALLEYSC_115_GUAP,22M7_DB114,2022-07-28T00:00:00,5059,S0422,-117.01059981,33.7417507320001
1568,AS_SP26,GEN,VALLEY_7_UNITA1,VALLEYSC_1_N013,24160_VALLEYSC_115_GUM1,22M7_DB114,2022-07-28T00:00:00,5061,E0207,-117.474835881,33.793795921
1569,AS_SP15,GEN,VALLEY_7_UNITA1,VALLEYSC_1_N013,24160_VALLEYSC_115_GUM1,22M7_DB114,2022-07-28T00:00:00,5061,E0207,-117.474835881,33.793795921
1570,AS_SP15,GEN,VEDDER_1_SEKERN,SHL-KRVD_1_N001,34817_SHL-KRVD_115_GU1,22M7_DB114,2022-07-28T00:00:00,5079,G0558,-119.078443393,35.374102834
1571,AS_NP26,GEN,VEDDER_1_SEKERN,SHL-KRVD_1_N001,34817_SHL-KRVD_115_GU1,22M7_DB114,2022-07-28T00:00:00,5079,G0558,-119.078443393,35.374102834
1572,AS_NP26,GEN,VEGA_6_SOLAR1,Q548_7_N001,34314_Q548    _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,5080,S0337,-120.805777882,36.928462316
1573,AS_NP15,GEN,VEGA_6_SOLAR1,Q548_7_N001,34314_Q548    _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,5080,S0337,-120.805777882,36.928462316
1574,AS_SP15,GEN,VENWD_1_WIND1,VENWIND_1_N103,25645_VENWIND _115_GUW1,22M7_DB114,2022-07-28T00:00:00,5082,W0268,-116.623460477,33.942117496
1575,AS_SP26,GEN,VENWD_1_WIND1,VENWIND_1_N103,25645_VENWIND _115_GUW1,22M7_DB114,2022-07-28T00:00:00,5082,W0268,-116.623460477,33.942117496
1576,AS_SP15,GEN,VENWD_1_WIND3,VENWIND_1_N104,25645_VENWIND _115_GUPH,22M7_DB114,2022-07-28T00:00:00,5084,W0478,-116.543666116,33.907882065
