AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP
AS_NP26,GEN,PGP2_2_PDRP19,PGP2_2_PDRP19-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3290
AS_NP15,GEN,PGP2_2_PDRP19,PGP2_2_PDRP19-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3290
AS_NP26,GEN,PGP2_2_PDRP20,PGP2_2_PDRP20-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3291
AS_NP15,GEN,PGP2_2_PDRP20,PGP2_2_PDRP20-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3291
AS_NP15,GEN,PGP2_2_PDRP22,PGP2_2_PDRP22-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3292
AS_NP26,GEN,PGP2_2_PDRP22,PGP2_2_PDRP22-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3292
AS_NP26,GEN,PGP2_2_PDRP23,PGP2_2_PDRP23-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3293
AS_NP15,GEN,PGP2_2_PDRP23,PGP2_2_PDRP23-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3293
AS_NP26,GEN,PGP2_2_PDRP24,PGP2_2_PDRP24-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3294
AS_NP15,GEN,PGP2_2_PDRP24,PGP2_2_PDRP24-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3294
AS_NP15,GEN,PGP2_2_PDRP25,PGP2_2_PDRP25-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3295
AS_NP26,GEN,PGP2_2_PDRP25,PGP2_2_PDRP25-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3295
AS_NP15,GEN,PGP2_2_PDRP26,PGP2_2_PDRP26-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3296
AS_NP26,GEN,PGP2_2_PDRP26,PGP2_2_PDRP26-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3296
AS_NP15,GEN,PGP2_2_PDRP28,PGP2_2_PDRP28-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3297
AS_NP26,GEN,PGP2_2_PDRP28,PGP2_2_PDRP28-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3297
AS_NP15,GEN,PGP2_2_PDRP29,PGP2_2_PDRP29-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3298
AS_NP26,GEN,PGP2_2_PDRP29,PGP2_2_PDRP29-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3298
AS_NP15,GEN,PGP2_2_PDRP30,PGP2_2_PDRP30-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3299
AS_NP26,GEN,PGP2_2_PDRP30,PGP2_2_PDRP30-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3299
AS_NP15,GEN,PGP2_2_PDRP32,PGP2_2_PDRP32-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3300
AS_NP26,GEN,PGP2_2_PDRP32,PGP2_2_PDRP32-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3300
AS_NP15,GEN,PGP2_2_PDRP33,PGP2_2_PDRP33-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3301
AS_NP26,GEN,PGP2_2_PDRP33,PGP2_2_PDRP33-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3301
AS_NP26,GEN,PGP2_2_PDRP35,PGP2_2_PDRP35-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3302
AS_NP15,GEN,PGP2_2_PDRP35,PGP2_2_PDRP35-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3302
AS_NP26,GEN,PGP2_2_PDRP38,PGP2_2_PDRP38-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3303
AS_NP15,GEN,PGP2_2_PDRP38,PGP2_2_PDRP38-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3303
AS_NP15,GEN,PGP2_2_PDRP42,PGP2_2_PDRP42-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3304
AS_NP26,GEN,PGP2_2_PDRP42,PGP2_2_PDRP42-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3304
AS_NP15,GEN,PGP2_2_PDRP43,PGP2_2_PDRP43-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3305
AS_NP26,GEN,PGP2_2_PDRP43,PGP2_2_PDRP43-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3305
AS_NP26,GEN,PGP2_2_PDRP44,PGP2_2_PDRP44-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3306
AS_NP15,GEN,PGP2_2_PDRP44,PGP2_2_PDRP44-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3306
AS_NP26,GEN,PGP2_2_PDRP47,PGP2_2_PDRP47-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3307
AS_NP15,GEN,PGP2_2_PDRP47,PGP2_2_PDRP47-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3307
AS_NP15,GEN,PGP2_2_PDRP48,PGP2_2_PDRP48-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3308
AS_NP26,GEN,PGP2_2_PDRP48,PGP2_2_PDRP48-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3308
AS_NP15,GEN,PGP2_2_PDRP53,PGP2_2_PDRP53-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3309
AS_NP26,GEN,PGP2_2_PDRP53,PGP2_2_PDRP53-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3309
AS_NP15,GEN,PGP2_2_PDRP54,PGP2_2_PDRP54-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3310
AS_NP26,GEN,PGP2_2_PDRP54,PGP2_2_PDRP54-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3310
AS_NP26,GEN,PGP2_2_PDRP55,PGP2_2_PDRP55-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3311
AS_NP15,GEN,PGP2_2_PDRP55,PGP2_2_PDRP55-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3311
AS_NP15,GEN,PGP2_2_PDRP56,PGP2_2_PDRP56-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3312
AS_NP26,GEN,PGP2_2_PDRP56,PGP2_2_PDRP56-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3312
AS_NP15,GEN,PGP2_2_PDRP58,PGP2_2_PDRP58-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3313
AS_NP26,GEN,PGP2_2_PDRP58,PGP2_2_PDRP58-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3313
AS_NP26,GEN,PGP2_2_PDRP59,PGP2_2_PDRP59-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3314
AS_NP15,GEN,PGP2_2_PDRP59,PGP2_2_PDRP59-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3314
