PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,LINK
MONTGMRY_6_N002,AS_SP26,LOAD,MNTGRY_6_LD31,22516_MONTGMRY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2439,32.631726,-117.099715,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=MONTGMRY_6_N002
TELECYN_1_N014,AS_SP26,LOAD,TLGCYN_1_LD40,22852_TELECYN _138_LD40,22M7_DB114,2022-07-28 0:00:00,4911,32.637823,-117.016284,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=TELECYN_1_N014
TELECYN_1_N001,AS_SP26,LOAD,TLGCYN_1_LD41,22852_TELECYN _138_LD41,22M7_DB114,2022-07-28 0:00:00,4912,32.637845,-117.015979,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=TELECYN_1_N001
TELECYN_1_N006,AS_SP15,LOAD,TLGCYN_1_LD42,22852_TELECYN _138_LD42,22M7_DB114,2022-07-28 0:00:00,4913,32.638103,-117.016141,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=TELECYN_1_N006
PRCTRVLY_1_N001,AS_SP26,LOAD,PRCTVY_1_LD42,22672_PRCTRVLY_138_LD42,22M7_DB114,2022-07-28 0:00:00,3658,32.665025,-116.986744,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=PRCTRVLY_1_N001
SWEETWTR_6_N017,AS_SP26,LOAD,SWTWTR_6_LD30,22820_SWEETWTR_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4826,32.658407,-117.091526,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SWEETWTR_6_N017
SWEETWTR_6_N018,AS_SP26,LOAD,SWTWTR_6_LD31,22820_SWEETWTR_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4827,32.658345,-117.091836,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SWEETWTR_6_N018
NATNLCTY_6_N001,AS_SP26,LOAD,NATCTY_6_LD20,22548_NATNLCTY_69.0_LD20,22M7_DB114,2022-07-28 0:00:00,2579,32.673108,-117.107253,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NATNLCTY_6_N001
NATNLCTY_6_N005,AS_SP26,LOAD,NATCTY_6_LD21,22548_NATNLCTY_69.0_LD21,22M7_DB114,2022-07-28 0:00:00,2580,32.673077,-117.107435,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NATNLCTY_6_N005
NAVSTMTR_6_N011,AS_SP26,LOAD,NSMTG_6_LD-E,22556_NAVSTMTR_69.0_LDE,22M7_DB114,2022-07-28 0:00:00,2643,32.670408,-117.114853,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NAVSTMTR_6_N011
NAVSTMTR_6_N001,AS_SP26,LOAD,NSMTG_6_LD-W,22556_NAVSTMTR_69.0_LDW,22M7_DB114,2022-07-28 0:00:00,2644,32.670422,-117.114581,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NAVSTMTR_6_N001
DIVISION_6_N009,AS_SP26,LOAD,DIVSON_6_LD30,22172_DIVISION_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1011,32.681533,-117.120064,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=DIVISION_6_N009
DIVISION_6_N001,AS_SP15,LOAD,DIVSON_6_LD31,22172_DIVISION_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1012,32.68166,-117.120133,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=DIVISION_6_N001
NSCOGEN_7_B1,AS_SP15,GEN,DIVSON_6_NSQF,22552_NSCOGEN _12.5_GU1,22M7_DB114,2022-07-28 0:00:00,1013,32.681524,-117.120218,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NSCOGEN_7_B1
PARADISX_6_N004,AS_SP15,LOAD,PARDSE_6_LD31,22636_PARADISX_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2859,32.704444,-117.049884,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=PARADISX_6_N004
SAMPSON_6_N010,AS_SP15,GEN,SAMPSN_6_KELCO1,22704_SAMPSON _12.5_GUKC,22M7_DB114,2022-07-28 0:00:00,3873,32.694468,-117.142444,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=SAMPSON_6_N010
