Demand 09/02/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,33529,30893,30893,30893,30893,30893,30893,30893,30893,30893,30893,30893,30893,29178,29178,29178,29178,29178,29178,29178,29178,29178,29178,29178,29178,27828,27828,27828,27828,27828,27828,27828,27828,27828,27828,27828,27828,27005,27005,27005,27005,27005,27005,27005,27005,27005,27005,27005,27005,26886,26886,26886,26886,26886,26886,26886,26886,26886,26886,26886,26886,27682,27682,27682,27682,27682,27682,27682,27682,27682,27682,27682,27682,29081,29081,29081,29081,29081,29081,29081,29081,29081,29081,29081,29081,30109,30109,30109,30109,30109,30109,30109,30109,30109,30109,30109,30109,31044,31044,31044,31044,31044,31044,31044,31044,31044,31044,31044,31044,32007,32007,32007,32007,32007,32007,32007,32007,32007,32007,32007,32007,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,35352,35352,35352,35352,35352,35352,35352,35352,35352,35352,35352,35352,37632,37632,37632,37632,37632,37632,37632,37632,37632,37632,37632,37632,40047,40047,40047,40047,40047,40047,40047,40047,40047,40047,40047,40047,42554,42554,42554,42554,42554,42554,42554,42554,42554,42554,42554,42554,44589,44589,44589,44589,44589,44589,44589,44589,44589,44589,44589,44589,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,46085,46085,46085,46085,46085,46085,46085,46085,46085,46085,46085,46085,45399,45399,45399,45399,45399,45399,45399,45399,45399,45399,45399,45399,43967,43967,43967,43967,43967,43967,43967,43967,43967,43967,43967,43967,42246,42246,42246,42246,42246,42246,42246,42246,42246,42246,42246,42246,39948,39948,39948,39948,39948,39948,39948,39948,39948,39948,39948,39948,36834,36834,36834,36834,36834,36834,36834,36834,36834,36834,36834,36834,33878,33878,33878,33878,33878,33878,33878,33878,33878,33878,33878,33878
Hour-ahead forecast,32337,31897,31897,31897,31397,31397,31397,31076,31076,31076,30591,30591,30591,30089,30089,30089,29676,29676,29676,29394,29394,29394,28978,28978,28978,28627,28627,28627,28338,28338,28338,28010,28010,28010,27808,27808,27808,27592,27592,27592,27435,27435,27435,27292,27292,27292,27305,27305,27305,27288,27288,27288,27159,27159,27159,27155,27155,27155,27428,27428,27428,27716,27716,27716,28001,28001,28001,28166,28166,28166,28645,28645,28645,29119,29119,29119,29555,29555,29555,29753,29753,29753,30103,30103,30103,30487,30487,30487,30706,30706,30706,30782,30782,30782,31121,31121,31121,31434,31434,31434,31583,31583,31583,31872,31872,31872,32231,32231,32231,32526,32526,32526,32796,32796,32796,33191,33191,33191,33517,33517,33517,33879,33879,33879,34218,34218,34218,34619,34619,34619,35062,35062,35062,35680,35680,35680,36110,36110,36110,36557,36557,36557,37141,37141,37141,37732,37732,37732,38087,38087,38087,38695,38695,38695,39279,39279,39279,39943,39943,39943,40434,40434,40434,41011,41011,41011,41477,41477,41477,42082,42082,42082,42707,42707,42707,43004,43004,43004,43462,43462,43462,43931,43931,43931,44305,44305,44305,44666,44666,44666,44857,44857,44857,45180,45180,45180,45247,45247,45247,45228,45228,45228,45358,45358,45358,45337,45337,45337,45537,45537,45537,45600,45600,45600,45113,45113,45113,44671,44671,44671,44310,44310,44310,43963,43963,43963,43704,43704,43704,43409,43409,43409,42953,42953,42953,42397,42397,42397,41984,41984,41984,41704,41704,41704,41299,41299,41299,40613,40613,40613,40161,40161,40161,39670,39670,39670,39161,39161,39161,38506,38506,38506,37706,37706,37706,37115,37115,37115,36541,36541,36541,35744,35744,35744,35089,35089,35089,34466,34466,34466,33924,33924,33924,33240,33240,33240,32752,32752,32752
Demand,32394,32358,32376,32238,32081,31950,31793,31609,31426,31251,31051,30809,30633,30473,30401,30239,30104,29965,29891,29737,29605,29454,29324,29200,29025,28931,28864,28758,28622,28497,28385,28276,28180,28074,27989,27887,27810,27811,27828,27733,27637,27597,27520,27463,27430,27352,27297,27257,27241,27226,27250,27149,27150,27138,27133,27172,27228,27246,27282,27292,27328,27518,27686,27802,27894,27918,27979,28053,28110,28166,28244,28329,28435,28865,29226,29378,29479,29530,29572,29652,29750,29772,29814,29884,29997,30192,30420,30516,30582,30662,30712,30808,30871,30962,31006,31065,31124,31280,31389,31492,31598,31712,31754,31874,31976,32087,32173,32257,32362,32470,32574,32745,32818,32839,32881,32974,33041,33199,33311,33419,33468,33568,33707,33842,33981,34094,34194,34304,34451,34663,34828,34998,35169,35302,35481,35677,35886,35991,36137,36253,36441,36668,36812,36907,37028,37056,37182,37431,37598,37769,37974,38179,38349,38647,38843,39025,39131,39225,39387,39637,39864,40072,40243,40413,40658,40905,41154,41392,41610,41686,41809,42002,42124,42230,42395,42567,42753,42892,43035,43265,43451,43529,43642,43792,43953,44127,44271,44414,44519,44671,44826,44889,44970,44797,44724,44748,44634,44780,45077,45166,45274,45328,45370,45417,45461,45333,45321,45370,45382,45493,45481,45498,45506,45521,45511,45523,45426,45104,44544,44469,44430,44634,44598,44483,44385,44257,44176,44021,43840,43600,43431,43219,43071,43004,42933,42844,42782,42648,42533,42444,42318,42184,42118,41949,41822,41621,41450,41233,41060,40845,40650,40495,40281,40193,40078,39923,39742,39609,39426,39237,39001,38771,38573,38374,38137,37936,37822,37571,37341,37117,36871,36632,36444,36172,35941,35706,35443,35208,35116,34906,34629,34377,34187,33973,33735,33478,33271,33045,32790
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
