Demand 09/05/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,33731,32463,32463,32463,32463,32463,32463,32463,32463,32463,32463,32463,32463,30542,30542,30542,30542,30542,30542,30542,30542,30542,30542,30542,30542,28962,28962,28962,28962,28962,28962,28962,28962,28962,28962,28962,28962,28086,28086,28086,28086,28086,28086,28086,28086,28086,28086,28086,28086,27521,27521,27521,27521,27521,27521,27521,27521,27521,27521,27521,27521,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,27557,28139,28139,28139,28139,28139,28139,28139,28139,28139,28139,28139,28139,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,29602,29602,29602,29602,29602,29602,29602,29602,29602,29602,29602,29602,31045,31045,31045,31045,31045,31045,31045,31045,31045,31045,31045,31045,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,36186,36186,36186,36186,36186,36186,36186,36186,36186,36186,36186,36186,39025,39025,39025,39025,39025,39025,39025,39025,39025,39025,39025,39025,41767,41767,41767,41767,41767,41767,41767,41767,41767,41767,41767,41767,44426,44426,44426,44426,44426,44426,44426,44426,44426,44426,44426,44426,46749,46749,46749,46749,46749,46749,46749,46749,46749,46749,46749,46749,47931,47931,47931,47931,47931,47931,47931,47931,47931,47931,47931,47931,48967,48967,48967,48967,48967,48967,48967,48967,48967,48967,48967,48967,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,46602,46602,46602,46602,46602,46602,46602,46602,46602,46602,46602,46602,44334,44334,44334,44334,44334,44334,44334,44334,44334,44334,44334,44334,41647,41647,41647,41647,41647,41647,41647,41647,41647,41647,41647,41647,38036,38036,38036,38036,38036,38036,38036,38036,38036,38036,38036,38036,34981,34981,34981,34981,34981,34981,34981,34981,34981,34981,34981,34981
Hour-ahead forecast,32594,32054,32054,32054,31680,31680,31680,31240,31240,31240,30776,30776,30776,30357,30357,30357,29941,29941,29941,29602,29602,29602,29257,29257,29257,28943,28943,28943,28623,28623,28623,28322,28322,28322,28144,28144,28144,27929,27929,27929,27710,27710,27710,27468,27468,27468,27368,27368,27368,27254,27254,27254,27207,27207,27207,27104,27104,27104,27212,27212,27212,27230,27230,27230,27113,27113,27113,27114,27114,27114,27443,27443,27443,27649,27649,27649,27602,27602,27602,27509,27509,27509,27655,27655,27655,27874,27874,27874,28050,28050,28050,28303,28303,28303,28678,28678,28678,29219,29219,29219,29550,29550,29550,29642,29642,29642,30149,30149,30149,30739,30739,30739,31285,31285,31285,31908,31908,31908,32417,32417,32417,32964,32964,32964,33668,33668,33668,34542,34542,34542,35302,35302,35302,36078,36078,36078,36701,36701,36701,37349,37349,37349,37971,37971,37971,38804,38804,38804,39487,39487,39487,40058,40058,40058,40678,40678,40678,41364,41364,41364,41943,41943,41943,42502,42502,42502,42913,42913,42913,43620,43620,43620,44281,44281,44281,44845,44845,44845,45244,45244,45244,45925,45925,45925,46161,46161,46161,46676,46676,46676,47072,47072,47072,47374,47374,47374,47409,47409,47409,47815,47815,47815,48019,48019,48019,48429,48429,48429,48522,48522,48522,48675,48675,48675,48585,48585,48585,48458,48458,48458,48128,48128,48128,47826,47826,47826,48019,48019,48019,47374,47374,47374,47138,47138,47138,46738,46738,46738,46129,46129,46129,45467,45467,45467,44526,44526,44526,43723,43723,43723,43238,43238,43238,42717,42717,42717,42271,42271,42271,41588,41588,41588,40629,40629,40629,39783,39783,39783,39053,39053,39053,38086,38086,38086,37311,37311,37311,36437,36437,36437,35768,35768,35768,35018,35018,35018,34342,34342,34342
Demand,32682,32608,32599,32544,32361,32179,32012,31829,31644,31461,31288,31105,30958,30819,30787,30665,30525,30364,30199,30064,29916,29773,29604,29478,29367,29291,29227,29164,29070,28965,28861,28772,28654,28525,28441,28335,28247,28164,28111,28018,27917,27828,27756,27680,27596,27519,27464,27387,27314,27375,27404,27366,27362,27301,27267,27231,27199,27201,27157,27101,27057,27132,27210,27233,27250,27228,27202,27241,27279,27328,27363,27338,27364,27624,27804,27865,27863,27800,27733,27714,27703,27662,27630,27614,27650,27821,28015,28071,28152,28196,28220,28298,28392,28431,28517,28639,28763,28907,29088,29224,29304,29442,29543,29630,29761,29883,30026,30145,30307,30457,30653,30839,31042,31177,31342,31504,31687,31897,32083,32253,32453,32697,32956,33218,33442,33639,33892,34088,34313,34588,34809,35018,35157,35261,35445,35752,36004,36252,36459,36697,36927,37184,37456,37672,37879,38012,38186,38488,38721,38952,39176,39357,39552,39853,40068,40284,40448,40551,40742,40980,41204,41454,41643,41862,42048,42305,42504,42710,42894,42997,43127,43357,43579,43784,44043,44170,44338,44539,44730,44927,45116,45201,45388,45623,45828,46012,46221,46448,46600,46752,46894,47028,47085,46848,46832,46929,47033,47307,47493,47482,47614,47816,48142,48187,48318,48182,48188,48270,48397,48518,48625,48710,48828,48906,48917,48929,48947,48640,48527,48474,48459,48380,48342,48103,47826,47651,47441,47174,46943,46727,46550,46377,46265,46162,46112,46061,45983,45875,45731,45591,45298,45069,45029,44961,44901,44789,44643,44478,44286,44077,43878,43720,43532,43433,43351,43204,43051,42872,42697,42470,42164,41905,41620,41347,41034,40688,40384,40079,39806,39546,39253,38949,38719,38448,38115,37832,37559,37273,37052,36785,36509,36228,35936,35646,35403,35115,34849,34619,34372
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
