Demand 09/01/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,31705,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,28104,28104,28104,28104,28104,28104,28104,28104,28104,28104,28104,28104,27060,27060,27060,27060,27060,27060,27060,27060,27060,27060,27060,27060,26364,26364,26364,26364,26364,26364,26364,26364,26364,26364,26364,26364,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,27251,27251,27251,27251,27251,27251,27251,27251,27251,27251,27251,27251,29039,29039,29039,29039,29039,29039,29039,29039,29039,29039,29039,29039,30224,30224,30224,30224,30224,30224,30224,30224,30224,30224,30224,30224,31033,31033,31033,31033,31033,31033,31033,31033,31033,31033,31033,31033,31827,31827,31827,31827,31827,31827,31827,31827,31827,31827,31827,31827,33293,33293,33293,33293,33293,33293,33293,33293,33293,33293,33293,33293,35172,35172,35172,35172,35172,35172,35172,35172,35172,35172,35172,35172,37370,37370,37370,37370,37370,37370,37370,37370,37370,37370,37370,37370,40510,40510,40510,40510,40510,40510,40510,40510,40510,40510,40510,40510,43192,43192,43192,43192,43192,43192,43192,43192,43192,43192,43192,43192,45274,45274,45274,45274,45274,45274,45274,45274,45274,45274,45274,45274,46648,46648,46648,46648,46648,46648,46648,46648,46648,46648,46648,46648,47171,47171,47171,47171,47171,47171,47171,47171,47171,47171,47171,47171,46506,46506,46506,46506,46506,46506,46506,46506,46506,46506,46506,46506,44903,44903,44903,44903,44903,44903,44903,44903,44903,44903,44903,44903,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,42860,40302,40302,40302,40302,40302,40302,40302,40302,40302,40302,40302,40302,36784,36784,36784,36784,36784,36784,36784,36784,36784,36784,36784,36784,33529,33529,33529,33529,33529,33529,33529,33529,33529,33529,33529,33529
Hour-ahead forecast,31343,30930,30930,30930,30464,30464,30464,30034,30034,30034,29668,29668,29668,29315,29315,29315,28862,28862,28862,28564,28564,28564,28367,28367,28367,28069,28069,28069,27584,27584,27584,27452,27452,27452,27241,27241,27241,27075,27075,27075,26850,26850,26850,26744,26744,26744,26727,26727,26727,26798,26798,26798,26843,26843,26843,26860,26860,26860,27155,27155,27155,27370,27370,27370,27544,27544,27544,27696,27696,27696,28155,28155,28155,28647,28647,28647,29091,29091,29091,29255,29255,29255,29574,29574,29574,29994,29994,29994,30132,30132,30132,30180,30180,30180,30455,30455,30455,30624,30624,30624,30696,30696,30696,30951,30951,30951,31369,31369,31369,31592,31592,31592,31632,31632,31632,31980,31980,31980,32535,32535,32535,32978,32978,32978,33351,33351,33351,33759,33759,33759,34169,34169,34169,34614,34614,34614,35134,35134,35134,35755,35755,35755,36292,36292,36292,36901,36901,36901,37537,37537,37537,38093,38093,38093,38780,38780,38780,39340,39340,39340,39910,39910,39910,40635,40635,40635,41297,41297,41297,42025,42025,42025,42561,42561,42561,43116,43116,43116,43737,43737,43737,44336,44336,44336,44952,44952,44952,45340,45340,45340,45590,45590,45590,46048,46048,46048,46312,46312,46312,46365,46365,46365,46552,46552,46552,46795,46795,46795,46985,46985,46985,47195,47195,47195,46825,46825,46825,46349,46349,46349,46079,46079,46079,45860,45860,45860,45514,45514,45514,45234,45234,45234,44666,44666,44666,44154,44154,44154,43709,43709,43709,43269,43269,43269,42777,42777,42777,42008,42008,42008,41489,41489,41489,40826,40826,40826,40276,40276,40276,39633,39633,39633,38707,38707,38707,37806,37806,37806,37039,37039,37039,36077,36077,36077,35184,35184,35184,34352,34352,34352,33706,33706,33706,33005,33005,33005,32337,32337,32337
Demand,31342,31292,31354,31221,31162,30964,30768,30627,30433,30283,30122,29980,29828,29667,29575,29463,29350,29195,29067,29004,28940,28787,28666,28576,28377,28237,28139,28046,27936,27835,27746,27652,27592,27485,27407,27322,27235,27178,27155,27095,27041,26966,26907,26881,26837,26762,26740,26748,26727,26765,26826,26809,26823,26790,26781,26804,26820,26841,26841,26813,26846,27034,27199,27264,27338,27390,27423,27527,27583,27642,27734,27828,27954,28323,28757,28892,28984,29027,29047,29122,29227,29240,29306,29376,29460,29621,29766,29841,29950,30007,30076,30105,30198,30202,30191,30261,30298,30422,30564,30663,30724,30778,30836,30941,31076,31166,31237,31297,31370,31403,31544,31558,31604,31689,31879,31964,32035,32184,32348,32435,32536,32668,32846,32996,33075,33170,33286,33406,33518,33665,33777,33899,34061,34196,34313,34544,34760,34922,35096,35249,35452,35694,35850,36046,36228,36399,36573,36783,36931,37118,37273,37497,37740,37957,38191,38359,38545,38734,38960,39236,39467,39699,39943,40185,40402,40643,40807,41064,41172,41264,41411,41625,41849,42069,42346,42529,42771,43008,43257,43489,43662,43740,43875,44120,44301,44541,44697,44802,44987,45187,45390,45563,45678,45526,45609,45684,45624,45851,46040,46117,46251,46366,46468,46595,46728,46537,46488,46561,46665,46770,46888,46897,46922,46959,46928,46934,46895,46513,46304,46267,46221,46193,46136,46053,45962,45815,45748,45597,45477,45209,45016,44776,44635,44553,44448,44337,44274,44162,44055,43917,43757,43572,43471,43301,43122,42983,42820,42645,42409,42192,42006,41822,41649,41526,41440,41268,41121,40895,40691,40410,40128,39863,39565,39325,38944,38641,38365,38000,37719,37426,37160,36859,36589,36178,35906,35637,35371,35102,34920,34694,34429,34152,33873,33604,33350,33106,32862,32677,32394
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
