Demand 09/04/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,33808,32266,32266,32266,32266,32266,32266,32266,32266,32266,32266,32266,32266,30451,30451,30451,30451,30451,30451,30451,30451,30451,30451,30451,30451,28926,28926,28926,28926,28926,28926,28926,28926,28926,28926,28926,28926,27793,27793,27793,27793,27793,27793,27793,27793,27793,27793,27793,27793,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,26764,26764,26764,26764,26764,26764,26764,26764,26764,26764,26764,26764,26993,26993,26993,26993,26993,26993,26993,26993,26993,26993,26993,26993,27371,27371,27371,27371,27371,27371,27371,27371,27371,27371,27371,27371,28393,28393,28393,28393,28393,28393,28393,28393,28393,28393,28393,28393,29710,29710,29710,29710,29710,29710,29710,29710,29710,29710,29710,29710,31578,31578,31578,31578,31578,31578,31578,31578,31578,31578,31578,31578,34027,34027,34027,34027,34027,34027,34027,34027,34027,34027,34027,34027,36276,36276,36276,36276,36276,36276,36276,36276,36276,36276,36276,36276,38983,38983,38983,38983,38983,38983,38983,38983,38983,38983,38983,38983,41439,41439,41439,41439,41439,41439,41439,41439,41439,41439,41439,41439,43435,43435,43435,43435,43435,43435,43435,43435,43435,43435,43435,43435,44891,44891,44891,44891,44891,44891,44891,44891,44891,44891,44891,44891,45847,45847,45847,45847,45847,45847,45847,45847,45847,45847,45847,45847,45399,45399,45399,45399,45399,45399,45399,45399,45399,45399,45399,45399,44124,44124,44124,44124,44124,44124,44124,44124,44124,44124,44124,44124,42153,42153,42153,42153,42153,42153,42153,42153,42153,42153,42153,42153,39820,39820,39820,39820,39820,39820,39820,39820,39820,39820,39820,39820,36690,36690,36690,36690,36690,36690,36690,36690,36690,36690,36690,36690,33731,33731,33731,33731,33731,33731,33731,33731,33731,33731,33731,33731
Hour-ahead forecast,32358,31866,31866,31866,31395,31395,31395,31072,31072,31072,30647,30647,30647,30221,30221,30221,29890,29890,29890,29510,29510,29510,29158,29158,29158,28775,28775,28775,28458,28458,28458,28167,28167,28167,27970,27970,27970,27673,27673,27673,27497,27497,27497,27376,27376,27376,27310,27310,27310,27216,27216,27216,27129,27129,27129,26981,26981,26981,26946,26946,26946,26877,26877,26877,26840,26840,26840,26848,26848,26848,26963,26963,26963,27012,27012,27012,26945,26945,26945,26823,26823,26823,26901,26901,26901,26988,26988,26988,27133,27133,27133,27285,27285,27285,27628,27628,27628,27921,27921,27921,28289,28289,28289,28715,28715,28715,29150,29150,29150,29595,29595,29595,30059,30059,30059,30549,30549,30549,31197,31197,31197,31677,31677,31677,32190,32190,32190,32669,32669,32669,33178,33178,33178,33805,33805,33805,34376,34376,34376,34985,34985,34985,35334,35334,35334,36029,36029,36029,36486,36486,36486,37080,37080,37080,37662,37662,37662,38242,38242,38242,38657,38657,38657,39034,39034,39034,39425,39425,39425,39889,39889,39889,40262,40262,40262,40779,40779,40779,41159,41159,41159,41684,41684,41684,42086,42086,42086,42464,42464,42464,42614,42614,42614,42863,42863,42863,43045,43045,43045,43392,43392,43392,43569,43569,43569,43713,43713,43713,43908,43908,43908,44082,44082,44082,43882,43882,43882,43349,43349,43349,43397,43397,43397,43455,43455,43455,43095,43095,43095,42889,42889,42889,42450,42450,42450,42021,42021,42021,41652,41652,41652,41300,41300,41300,40858,40858,40858,40332,40332,40332,40023,40023,40023,39593,39593,39593,39246,39246,39246,38569,38569,38569,37805,37805,37805,37110,37110,37110,36554,36554,36554,35821,35821,35821,35074,35074,35074,34407,34407,34407,33827,33827,33827,33196,33196,33196,32594,32594,32594
Demand,32447,32394,32381,32299,32136,31962,31818,31680,31557,31356,31193,31034,30884,30727,30658,30501,30348,30202,30048,29930,29821,29664,29524,29404,29231,29153,29052,28932,28809,28720,28607,28535,28437,28300,28180,28080,27988,27975,27998,27989,27942,27858,27792,27734,27657,27585,27512,27448,27405,27368,27334,27286,27227,27193,27138,27101,27093,27034,27009,26939,26892,26912,26975,26981,26964,26967,26966,26945,26935,26915,26921,26916,26909,27008,27105,27121,27091,27030,26994,26962,26919,26851,26827,26839,26853,26952,27051,27079,27098,27129,27189,27268,27286,27348,27401,27519,27634,27802,27942,28118,28259,28359,28457,28581,28698,28849,28961,29096,29250,29415,29605,29783,29915,30053,30172,30370,30550,30749,30870,30993,31126,31274,31385,31533,31688,31831,31960,32162,32332,32570,32723,32876,33055,33325,33469,33637,33794,33947,34082,34275,34447,34689,34891,35059,35189,35346,35536,35756,35926,36139,36322,36520,36717,36929,37114,37288,37432,37467,37585,37753,37902,38048,38238,38407,38590,38737,38889,39075,39231,39213,39318,39485,39648,39837,39968,40147,40353,40518,40668,40840,41028,41091,41208,41403,41577,41711,41848,42012,42132,42232,42350,42444,42477,42390,42475,42603,42735,42864,42978,43105,43270,43381,43239,43460,43598,43555,43566,43621,43690,43788,43903,43999,44027,44083,44130,43665,43675,43594,43863,43912,43887,43809,43727,43638,43576,43467,43343,43202,43086,42995,42893,42757,42714,42634,42540,42500,42412,42310,42220,42086,41985,41817,41690,41562,41470,41331,41197,41046,40884,40736,40555,40414,40194,40185,40162,40017,39877,39724,39546,39371,39178,38969,38766,38528,38272,38025,37806,37554,37320,37091,36872,36591,36408,36156,35902,35689,35445,35204,35002,34714,34504,34241,34013,33781,33566,33303,33083,32889,32682
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
